dew_point,avg_wind,humidity,rain,rain_sum,snow_depth,rain_amount,snow_amount,ice_measure,friction,ice_frequency,mean_temperature,condition
-12.7,5.5,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,487.0,7.0,Normal
-8.403114841517302,2.460406988997048,59.62677474010176,3.0173625532727604,0.0,6.094455332881663,0.0,0.31605413790943143,0.3539549230385383,0.5698155127384164,648.0,-34.59313926495131,Ice
-3.2,2.1,96.0,4.0,2.1,0.0,0.0,0.34,0.11,0.38,112.0,7.1,Snow
0.4,0.9,98.0,0.0,0.7,0.0,0.02,0.0,0.0,0.82,465.0,-0.02150537634408602,Rain
-5.867660347036637,1.4393516920018457,64.11379346030985,0.0,1.6930644447782455,0.0,0.0,0.15504137196262516,0.509244147683545,0.61903021025614,62.13016546291158,-16.647308915538034,Ice
-8.5,5.6,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,112.0,6.857142857142858,Normal
4.77000583100122,4.346794280702241,48.05233795329145,0.0,0.0,1.9130464203786288,0.37401976617848437,0.0,0.2347611709245,0.5912200501328831,50.97536846432621,33.04994979733182,Ice
4.5,1.2,54.0,0.0,0.0,0.0,0.01,0.0,0.0,0.82,105.0,-0.08888888888888889,Rain
3.2,0.4,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,420.0,0.21917808219178084,Normal
-7.9,3.4,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,438.0,26.0,Normal
-13.4,1.9,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,105.0,8.928571428571429,Ice
-3.5957726623241846,1.9825000664688945,69.74381199264661,1.518747510081373,1.0893847205085228,0.0,0.0,0.0,0.04079931813212799,0.82,421.85136847166916,-14.092775280943748,Ice
3.4,0.3,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,402.0,0.328125,Normal
-4.2,2.1,96.0,4.0,1.0,4.0,0.0,0.4,0.15,0.34,112.0,21.666666666666668,Snow
2.9,6.1,77.0,0.0,12.5,0.0,0.21,0.0,0.0,0.74,110.0,-0.5970149253731343,Rain
7.3,1.2,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,410.0,0.05732484076433121,Normal
-7.6,5.5,66.0,4.0,0.3,0.0,0.0,0.0,0.0,0.82,432.0,6.25,Snow
-10.231135355236997,3.9559229769587905,69.07128616630972,4.124982516498757,0.0,0.0,0.0,0.07712454171138802,0.5757540743683452,0.4907849733576429,66.64904116240422,-14.112234402639752,Ice
-14.2,3.4,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,112.0,7.863636363636363,Normal
-17.6,0.8,45.0,0.0,0.0,0.0,0.0,0.51,0.02,0.38,415.0,6.5813953488372094,Normal
-7.3,4.2,67.0,4.0,0.0,0.0,0.0,0.0,0.0,0.82,465.0,-5.374999999999999,Snow
3.3,1.6,100.0,1.0,6.9,0.0,0.24,0.0,0.0,0.73,112.0,-3.441176470588235,Rain
5.8,1.3,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,432.0,0.3897058823529412,Normal
-10.0,3.1,61.0,4.0,0.0,0.0,0.0,0.0,0.0,0.82,422.0,7.444444444444445,Snow
2.4,2.4,99.0,0.0,4.3,0.0,0.0,0.0,0.0,0.82,115.0,-4.346153846153847,Rain
-15.4,2.7,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,406.0,9.384615384615383,Normal
-5.53317560894266,0.6654841191058054,88.89876206156615,2.2242270792329424,2.8626778013985925,4.361078976857374,0.17841257932955096,0.019327527678607823,0.0,0.47959824260028366,192.68060559416492,-18.73769302113702,Ice
-6.5,2.6,73.0,4.0,0.0,0.0,0.01,0.0,0.0,0.82,112.0,10.222222222222221,Snow
-14.2,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,425.0,24.6,Normal
-5.3035043678839155,0.43382482921407295,51.266458598058165,2.344282537875442,0.0,0.0,0.0,0.0,0.6470495993077959,0.6676030068328552,299.56731885747706,10.067587127934285,Ice
